Data,Valor,Identificador,Descrição
2026-07-01,5200.00,STG-BASE-001,STG-QA SALARIO EMPRESA DEMO
2026-07-02,-120.00,STG-BASE-002,STG-QA SUPERMERCADO CENTRAL
2026-07-03,-49.90,STG-BASE-003,STG-QA INTERNET FIBRA
2026-07-04,-35.00,STG-BASE-004,STG-QA POSTO AVENIDA
2026-07-05,-89.90,STG-BASE-005,STG-QA FARMACIA SAUDE
2026-07-10,-120.00,STG-BASE-006,STG-QA SUPERMERCADO CENTRAL
2026-07-12,-49.90,STG-BASE-007,STG-QA STREAMING VIDEO
2026-07-15,250.00,STG-BASE-008,STG-QA PIX RECEBIDO CLIENTE A
2026-07-20,-1500.00,STG-BASE-009,STG-QA ALUGUEL RESIDENCIAL
2026-07-24,-79.90,STG-BASE-010,STG-QA RESTAURANTE PRACA
