Data,Valor,Identificador,Descrição
2026-07-01,-10.00,STG-STRESS-0001,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-02,-10.00,STG-STRESS-0002,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-03,-10.00,STG-STRESS-0003,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-04,-10.00,STG-STRESS-0004,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-05,-10.00,STG-STRESS-0005,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-06,-10.00,STG-STRESS-0006,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-07,-10.00,STG-STRESS-0007,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-08,-10.00,STG-STRESS-0008,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-09,-10.00,STG-STRESS-0009,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-10,1000.00,STG-STRESS-0010,STG-QA PIX RECEBIDO RECORRENTE
2026-07-11,-10.00,STG-STRESS-0011,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-12,-10.00,STG-STRESS-0012,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-13,-10.00,STG-STRESS-0013,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-14,-10.00,STG-STRESS-0014,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-15,-10.00,STG-STRESS-0015,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-16,-10.00,STG-STRESS-0016,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-17,-10.00,STG-STRESS-0017,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-18,-10.00,STG-STRESS-0018,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-19,-10.00,STG-STRESS-0019,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-20,1000.00,STG-STRESS-0020,STG-QA PIX RECEBIDO RECORRENTE
2026-07-21,-10.00,STG-STRESS-0021,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-22,-10.00,STG-STRESS-0022,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-23,-10.00,STG-STRESS-0023,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-24,-10.00,STG-STRESS-0024,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-25,-10.00,STG-STRESS-0025,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-26,-10.00,STG-STRESS-0026,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-27,-10.00,STG-STRESS-0027,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-28,-10.00,STG-STRESS-0028,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-01,-10.00,STG-STRESS-0029,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-02,1000.00,STG-STRESS-0030,STG-QA PIX RECEBIDO RECORRENTE
2026-07-03,-10.00,STG-STRESS-0031,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-04,-10.00,STG-STRESS-0032,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-05,-10.00,STG-STRESS-0033,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-06,-10.00,STG-STRESS-0034,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-07,-10.00,STG-STRESS-0035,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-08,-10.00,STG-STRESS-0036,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-09,-10.00,STG-STRESS-0037,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-10,-10.00,STG-STRESS-0038,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-11,-10.00,STG-STRESS-0039,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-12,1000.00,STG-STRESS-0040,STG-QA PIX RECEBIDO RECORRENTE
2026-07-13,-10.00,STG-STRESS-0041,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-14,-10.00,STG-STRESS-0042,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-15,-10.00,STG-STRESS-0043,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-16,-10.00,STG-STRESS-0044,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-17,-10.00,STG-STRESS-0045,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-18,-10.00,STG-STRESS-0046,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-19,-10.00,STG-STRESS-0047,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-20,-10.00,STG-STRESS-0048,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-21,-10.00,STG-STRESS-0049,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-22,1000.00,STG-STRESS-0050,STG-QA PIX RECEBIDO RECORRENTE
2026-07-23,-10.00,STG-STRESS-0051,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-24,-10.00,STG-STRESS-0052,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-25,-10.00,STG-STRESS-0053,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-26,-10.00,STG-STRESS-0054,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-27,-10.00,STG-STRESS-0055,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-28,-10.00,STG-STRESS-0056,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-01,-10.00,STG-STRESS-0057,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-02,-10.00,STG-STRESS-0058,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-03,-10.00,STG-STRESS-0059,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-04,1000.00,STG-STRESS-0060,STG-QA PIX RECEBIDO RECORRENTE
2026-07-05,-10.00,STG-STRESS-0061,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-06,-10.00,STG-STRESS-0062,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-07,-10.00,STG-STRESS-0063,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-08,-10.00,STG-STRESS-0064,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-09,-10.00,STG-STRESS-0065,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-10,-10.00,STG-STRESS-0066,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-11,-10.00,STG-STRESS-0067,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-12,-10.00,STG-STRESS-0068,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-13,-10.00,STG-STRESS-0069,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-14,1000.00,STG-STRESS-0070,STG-QA PIX RECEBIDO RECORRENTE
2026-07-15,-10.00,STG-STRESS-0071,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-16,-10.00,STG-STRESS-0072,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-17,-10.00,STG-STRESS-0073,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-18,-10.00,STG-STRESS-0074,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-19,-10.00,STG-STRESS-0075,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-20,-10.00,STG-STRESS-0076,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-21,-10.00,STG-STRESS-0077,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-22,-10.00,STG-STRESS-0078,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-23,-10.00,STG-STRESS-0079,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-24,1000.00,STG-STRESS-0080,STG-QA PIX RECEBIDO RECORRENTE
2026-07-25,-10.00,STG-STRESS-0081,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-26,-10.00,STG-STRESS-0082,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-27,-10.00,STG-STRESS-0083,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-28,-10.00,STG-STRESS-0084,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-01,-10.00,STG-STRESS-0085,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-02,-10.00,STG-STRESS-0086,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-03,-10.00,STG-STRESS-0087,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-04,-10.00,STG-STRESS-0088,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-05,-10.00,STG-STRESS-0089,STG-QA COMPRA REPETIDA MESMO VALOR
