Data;Descricao;Valor;Documento
01/12/2024;PAGAMENTO SALARIO;5000,00;1001
02/12/2024;ALUGUEL IMOVEL;-1800,00;2001
03/12/2024;SUPERMERCADO BIG;-450,50;2002
03/12/2024;POSTO SHELL COMBUSTIVEL;-180,00;2003
04/12/2024;UBER *TRIP;-24,90;2004
05/12/2024;IFOOD *POKE HAUS;-65,00;2005
05/12/2024;NETFLIX.COM;-55,90;2006
06/12/2024;SPOTIFY STUDENT;-11,90;2007
07/12/2024;AMAZON PRIME;-19,90;2008
08/12/2024;RESTAURANTE OUTBACK;-230,00;2009
10/12/2024;PAGAMENTO FATURA CARTAO;-1200,00;2010
12/12/2024;TRANSFERENCIA PIX RECEBIDA;350,00;1002
15/12/2024;FARMACIA DROGASIL;-85,00;2011
20/12/2024;UBER *TRIP;-15,40;2012
22/12/2024;CINEMARK INGRESSOS;-70,00;2013
25/12/2024;PRESENTES NATAL;-400,00;2014
